brand,model,year_from,year_to,country,is_popular
Geely,Coolray,2018,2025,China,0
Geely,Emgrand,2021,2025,China,0
Geely,"Emgrand 7",2016,2022,China,0
Geely,"Emgrand EC7",2009,2017,China,0
Geely,"Emgrand GS",2016,2022,China,0
Geely,"Emgrand GSe",2018,2022,China,0
Geely,"Emgrand X7",2011,2021,China,0
Geely,GC9,2015,2019,China,0
Geely,"Geometry C",2019,2025,China,0
Geely,GС6,2014,2016,China,0
Geely,MK,2008,2019,China,0
Geely,Monjaro,2021,2025,China,0
Geely,Okavango,2020,2025,China,0
Geely,Otaka,2006,2009,China,0
Geely,Preface,2020,2025,China,0
Geely,Tugella,2019,2025,China,0
Geely,Vision,2006,2013,China,0
Genesis,G70,2018,2025,Other,0
Genesis,G80,2017,2025,Other,0
Genesis,G90,2016,2025,Other,0
Genesis,GV60,2021,2025,Other,0
Genesis,GV70,2020,2025,Other,0
Genesis,GV80,2020,2025,Other,0
GMC,Acadia,2007,2025,USA,0
GMC,Canyon,2004,2025,USA,0
GMC,Envoy,2001,2009,USA,0
GMC,"Hummer EV",2022,2025,USA,0
GMC,"Sierra 1500",1999,2025,USA,0
GMC,"Sierra 2500",1999,2025,USA,0
GMC,"Sierra 3500",2020,2025,USA,0
GMC,Terrain,2010,2025,USA,0
GMC,Yukon,2000,2025,USA,0
"Great Wall",Cowry,2007,2014,China,0
"Great Wall",Deer,2003,2013,China,0
"Great Wall",Hover,2005,2020,China,0
"Great Wall","Hover M2",2010,2014,China,0
"Great Wall",Pegasus,2005,2007,China,0
"Great Wall",Peri,2007,2015,China,0
"Great Wall",Poer,2020,2025,China,0
"Great Wall","Poer King Kong",2022,2025,China,0
"Great Wall",Safe,2002,2010,China,0
"Great Wall",Sailor,2004,2012,China,0
"Great Wall",Sing,2004,2012,China,0
"Great Wall",Socool,2004,2012,China,0
"Great Wall",Wingle,2008,2021,China,0
"Great Wall","Wingle 7",2018,2021,China,0
Haval,"Cool Dog",2022,2025,China,0
Haval,Dargo,2020,2025,China,0
Haval,"Dargo X",2023,2025,China,0
Haval,F7,2018,2025,China,0
Haval,F7x,2019,2025,China,0
Haval,H4,2018,2021,China,0
Haval,H6,2017,2025,China,0
Haval,H9,2015,2025,China,0
Haval,Jolion,2021,2025,China,0
Haval,"M6 Plus",2021,2025,China,0
Holden,Commodore,2004,2017,Other,0
Holden,"Corvette C8",2020,2021,Other,0
